nivel,tipo,curso,semestre,matriculados
Doutorado,Acadêmico,Economia Doméstica,2016-2,0
Doutorado,Acadêmico,Economia Doméstica,2017-1,7
Doutorado,Acadêmico,Economia Doméstica,2017-2,0
Doutorado,Acadêmico,Economia Doméstica,2018-1,6
Doutorado,Acadêmico,Economia Doméstica,2018-2,0
Doutorado,Acadêmico,Economia Doméstica,2019-1,3
Doutorado,Acadêmico,Economia Doméstica,2019-2,0
Doutorado,Acadêmico,Economia Doméstica,2020-1,7
Doutorado,Acadêmico,Economia Doméstica,2020-2,0
Doutorado,Acadêmico,Economia Doméstica,2021-1,7
Doutorado,Acadêmico,Economia Doméstica,2021-2,2
Doutorado,Acadêmico,Economia Doméstica,2022-1,14
Doutorado,Acadêmico,Economia Doméstica,2022-2,5
Doutorado,Acadêmico,Economia Doméstica,2023-1,6
Doutorado,Acadêmico,Economia Doméstica,2023-2,0
Doutorado,Acadêmico,Economia Doméstica,2024-1,5
Doutorado,Acadêmico,Educação Física,2010-1,0
Doutorado,Acadêmico,Educação Física,2010-2,0
Doutorado,Acadêmico,Educação Física,2011-1,0
Doutorado,Acadêmico,Educação Física,2011-2,0
Doutorado,Acadêmico,Educação Física,2012-1,0
Doutorado,Acadêmico,Educação Física,2012-2,0
Doutorado,Acadêmico,Educação Física,2013-1,0
Doutorado,Acadêmico,Educação Física,2013-2,0
Doutorado,Acadêmico,Educação Física,2014-1,0
Doutorado,Acadêmico,Educação Física,2014-2,0
Doutorado,Acadêmico,Educação Física,2015-1,0
Doutorado,Acadêmico,Educação Física,2015-2,0
Doutorado,Acadêmico,Educação Física,2016-1,0
Doutorado,Acadêmico,Educação Física,2016-2,8
Doutorado,Acadêmico,Educação Física,2017-1,0
Doutorado,Acadêmico,Educação Física,2017-2,7
Doutorado,Acadêmico,Educação Física,2018-1,0
Doutorado,Acadêmico,Educação Física,2018-2,7
Doutorado,Acadêmico,Educação Física,2019-1,0
Doutorado,Acadêmico,Educação Física,2019-2,3
Doutorado,Acadêmico,Educação Física,2020-1,0
Doutorado,Acadêmico,Educação Física,2020-2,0
Doutorado,Acadêmico,Educação Física,2021-1,1
Doutorado,Acadêmico,Educação Física,2021-2,0
Doutorado,Acadêmico,Educação Física,2022-1,3
Doutorado,Acadêmico,Educação Física,2022-2,2
Doutorado,Acadêmico,Educação Física,2023-1,1
Doutorado,Acadêmico,Educação Física,2023-2,3
Doutorado,Acadêmico,Educação Física,2024-1,0
Doutorado,Acadêmico,Engenharia Agrícola,2010-1,11
Doutorado,Acadêmico,Engenharia Agrícola,2010-2,13
Doutorado,Acadêmico,Engenharia Agrícola,2011-1,8
Doutorado,Acadêmico,Engenharia Agrícola,2011-2,13
Doutorado,Acadêmico,Engenharia Agrícola,2012-1,4
